TYPE,YTD CURTAILED MWH
LocalEconomic,"96,790"
LocalExDispatch,"1,401"
LocalSelfSchCut,"3,701"
SystemEconomic,"208,950"
SystemExDispatch,518
SystemSelfSchCut,828
TOTAL,"312,188"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/01,9 ExDispatch,,Local,SOLR,0,0
08/01,9 ExDispatch,,System,SOLR,0,
08/01,10 ExDispatch,,Local,SOLR,0,0
08/01,11 Economic,,System,SOLR,0,2
08/01,11 ExDispatch,,Local,SOLR,0,
08/01,12 Economic,,Local,SOLR,1,1
08/01,12 ExDispatch,,Local,SOLR,2,4
08/01,13 Economic,,Local,SOLR,45,271
08/01,13 ExDispatch,,Local,SOLR,4,6
08/01,13 ExDispatch,,System,SOLR,1,
08/01,14 Economic,,Local,SOLR,14,95
08/01,14 ExDispatch,,Local,SOLR,1,3
08/01,14 ExDispatch,,System,SOLR,0,
08/01,15 Economic,,Local,SOLR,17,123
08/01,16 Economic,,Local,SOLR,10,11
08/01,16 ExDispatch,,Local,SOLR,0,
08/01,16 ExDispatch,,System,SOLR,0,0
08/01,17 Economic,,Local,SOLR,6,13
08/01,18 Economic,,Local,SOLR,4,11
08/01,19 Economic,,Local,SOLR,0,5
08/01,20 Economic,,Local,SOLR,0,0
