TYPE,YTD CURTAILED MWH
LocalEconomic,"101,526"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,705"
SystemEconomic,"210,097"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"318,097"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/27,9 Economic,,Local,SOLR,0,1
08/27,9 ExDispatch,,System,SOLR,0,
08/27,10 Economic,,Local,SOLR,1,2
08/27,11 Economic,,Local,SOLR,1,4
08/27,11 ExDispatch,,System,SOLR,0,
08/27,12 Economic,,Local,SOLR,2,4
08/27,13 Economic,,Local,SOLR,4,33
08/27,13 Economic,,System,SOLR,0,
08/27,14 Economic,,Local,SOLR,2,2
08/27,15 Economic,,Local,SOLR,2,3
08/27,16 Economic,,Local,SOLR,0,0
08/27,16 ExDispatch,,Local,SOLR,0,0
08/27,16 ExDispatch,,System,SOLR,0,
